id	lat	long	$gauge	
1560	43.123	5.915	France - Toulon 	
24	43.19167	157.1417	290 NM SE of the Kuril Islands	
850	43.21	-8.23	Spain - Coruna 	
890	43.28	145.57	Japan - Hanasaki 	
1337	43.291	5.356	France - Marseille	
836	43.345	-124.3217	USA - CharlestonOR 	
1280	43.36	-3.05	Spain - Bilbao3	
2513	43.3952	-1.68162	France - Socoa2	
2512	43.3952	-1.68162	France - Socoa	
2491	43.3952	-1.68162	France - Socoa	
2514	43.3976	3.69911	France - Sete	
1506	43.405	4.893	France - Fos-sur-Mer 	
873	43.46	-8.33	Spain - Ferrol1 	
2503	43.48353	6.933767	France - La Figueirette2	
2502	43.48353	6.933767	France - La Figueirette	
899	43.5237	8.0109	Italy - Imperia 	
2478	43.5273	-1.51483	France - Boucau-Bayonne	
2455	43.695	7.285	France - Nice2	
1357	43.695	7.285	France - Nice	
2454	43.72867	7.42158	Monaco - Monaco- Fontvieille harbour	
1519	44.097	9.858	Italy - La Spezia 	
2499	44.16	28.6	Romania - Constanta	
1472	44.35	135.8	Russia - Rudnaya Pristan 	
818	44.3916	-68.205	USA - Bar_Harbor_ME 	
1508	44.41	8.925	Italy - Genova 	
2451	44.416	34.05	Ukraina - Kaciveli	
1090	44.471	155.736	Station 21419 - 209NM SE of KURIL ISLANDS	
1047	44.62	8.63	Malpensa (Temp)	
1048	44.62	8.93	Malpensa (Press)	
996	44.625	-124.043	USA - South_Beach_OR 	
843	44.64	-67.3	USA - CutlerNavalBase_ME 	
2517	44.65667	-67.21	USA - Cutler Farris Wharf- ME	
1443	44.665	-1.164	France - Arcachon Eyrac 	
1310	44.67	-63.58	Canada - Halifax	
869	44.9033	-66.985	USA - East_Port_ME 	
1022	45.3916	13.4522	Italy - TRIESTE 	
1483	45.418	12.427	Italy - Venice 	
1544	45.569	-1.062	France - Port-Bloc 	
1043	45.7562	8.617	Tamosy Large Panel (Temp)	
1045	45.7562	8.817	Tamosy Small Panel (Temp)	
40	45.859	-128.778	230 NM West of Astoria- OR	
2480	46.0074	-1.17424	France - Ile d'Aix	
1520	46.158	-1.221	France - La Rochelle-Pallice 	
1487	46.2	9	Tamosy Panel Active (Temp)	
814	46.208	-123.767	USA - Astoria_OR 	
1488	46.3	9	Tamosy Panel Active (Press)	
1524	46.498	-1.794	France - Les Sables d'Olonne 	
1044	46.5	8.617	Tamosy Large Panel (Press)	
1046	46.5	8.817	Tamosy Small Panel (Press)	
1454	46.633	142.767	Russia - Korsakov 	
1093	46.638	-170.79	Station 46401 - East of ADAK- AK	
1430	46.908	-124.11	USA - Westport-WA	
1453	47.051	142.044	Russia - Kholmsk 	
1551	47.26	-2.2	France - Saint-Nazaire 	
1523	47.543	-2.895	France - Le Crouesty 	
1408	47.57	-52.72	Canada - St. Johns	
2493	47.64391	-3.447057	France - Port-Tudy (Groix island)	
1445	47.874	-3.907	France - Concarneau 	
23	48.04352	163.4881	240NM SE of Kamchatka Peninsula	
1325	48.36	-4.78	France - Le Conquet	
1284	48.38	-4.5	France - Brest	
1475	48.642	-2.028	France - Saint-Malo 	
1471	48.716	-3.966	France - Roscoff 	
45	48.8	-129.6	300 NM West-Northwest of Seattle- WA	
1277	48.84	-125.14	Canada - Bamfield	
10	48.86	-175.6	Station 46413 - East of ADAK- AK	
1291	48.863	-122.758	USA - Cherry Point	
21	48.94218	178.2702	Station 21414 - NW Pacific	
1414	49.15	-125.91	Canada - Tofino	
1328	49.482	0.106	France - Le Havre	
42	49.626	-169.8715	NW Pacific S AK	
12	49.63	-169.87	Station 46408 - NW Pacific S AK	
11	49.63	-169.87	Station 46408 - NW Pacific S AK	
1289	49.65	-1.63	France - Cherbourg	
1296	49.93	1.085	France - Dieppe	
948	50.103	-5.54275	UK - Newlyn 	
2527	50.103	-5.54275	UK - Newlyn2	
22	50.17253	171.8369	175 NM S of Attu AK	
73	50.173	-171.837	Station 21415 - 175 NM S of Attu AK	
1428	50.51	-129.03	Canada - Winter Harbour	
999	50.678	156.1388	Russia - Severo_Kurilsk_RU 	
